State:Action,QValue
0,31:right,72.90452
0,31:up,72.624664
0,32:down,67.8115
0,32:left,67.87041
0,32:right,75.38911
0,32:up,75.32272
0,33:down,67.21322
0,33:left,67.19892
0,33:right,78.663666
0,33:up,68.40971
0,34:down,56.365032
0,34:left,19.81358
0,34:right,72.94016
0,34:up,82.15586
0,35:down,68.43077
0,35:left,55.16959
0,35:right,86.11302
0,35:up,77.68287
0,36:down,60.83005
0,36:left,38.84054
0,36:right,90.11327
0,36:up,75.95958
0,37:down,57.180023
0,37:left,34.13331
0,37:right,90.98044
0,37:up,92.475266
0,38:down,80.02687
0,38:left,40.917526
0,38:right,97.262115
0,38:up,76.94536
0,39:down,86.49192
0,39:left,48.787468
0,39:right,102.3128
0,39:up,97.48504
0,4:down,26.199043
0,4:left,15.818866
0,4:right,30.942276
0,4:up,30.493196
0,40:down,93.41366
0,40:left,62.806087
0,40:right,105.73971
0,40:up,94.195694
0,41:down,86.908165
0,41:left,35.874016
0,41:right,107.69535
0,41:up,81.95636
0,42:down,92.639
0,42:left,48.570206
0,42:right,112.15085
0,42:up,78.65902
0,43:down,89.24678
0,43:left,20.271713
0,43:right,118.27553
0,43:up,89.909485
0,44:down,37.74009
0,44:left,32.67281
0,44:right,113.839584
0,44:up,122.55929
0,45:down,89.04565
0,45:left,108.14997
0,45:right,128.33534
0,45:up,82.523796
0,46:down,108.11143
0,46:left,81.511024
0,46:right,127.31751
0,46:up,133.80777
0,47:down,112.36865
0,47:left,108.99094
0,47:right,139.51111
0,47:up,138.74411
0,48:down,121.58237
0,48:left,69.47769
0,48:right,147.69168
0,48:up,140.59698
0,49:down,118.84759
0,49:left,87.375435
0,49:right,154.33215
0,49:up,146.94534
0,5:down,19.540823
0,5:left,23.592657
0,5:right,30.636118
0,5:up,32.299004
0,50:down,135.16347
0,50:left,45.879303
0,50:right,163.077
0,50:up,137.70894
0,51:down,144.79251
0,51:left,134.05215
0,51:right,155.29234
0,51:up,115.73211
0,52:down,146.05157
0,52:left,54.464325
0,52:right,141.39612
0,52:up,111.12171
0,53:down,129.70776
0,53:left,54.5211
0,53:right,140.81264
0,53:up,113.57132
0,54:down,131.82932
0,54:left,84.23727
0,54:right,134.01912
0,54:up,114.926216
0,55:down,129.14752
0,55:left,9.278052
0,55:right,124.01072
0,55:up,89.70314
0,56:down,101.02068
0,56:left,69.17826
0,56:right,121.18222
0,56:up,104.39479
0,57:down,35.255344
0,57:left,65.84253
0,57:right,116.26706
0,57:up,31.427689
0,58:down,99.534454
0,58:left,75.359215
0,58:right,111.54681
0,58:up,100.597374
0,59:down,98.594246
0,59:left,56.610016
0,59:right,108.75505
0,59:up,55.201588
0,6:down,28.732405
0,6:left,29.88039
0,6:right,33.039017
0,6:up,24.821596
0,60:down,92.34969
0,60:left,31.42775
0,60:right,86.47848
0,60:up,95.19245
0,61:down,82.57198
0,61:left,38.58082
0,61:right,100.13135
0,61:up,92.7507
0,62:down,89.02631
0,62:left,82.37729
0,62:right,95.51925
0,62:up,86.34094
0,63:down,79.76659
0,63:left,37.059444
0,63:right,91.63674
0,63:up,64.29739
0,64:down,65.795296
0,64:left,4.6199136
0,64:right,79.37364
0,64:up,81.71993
0,65:down,68.23416
0,65:left,58.637268
0,65:right,85.62033
0,65:up,61.503292
0,66:down,51.96512
0,66:left,23.740469
0,66:right,72.48674
0,66:up,77.23926
0,67:down,65.67456
0,67:left,5.864437
0,67:right,80.30664
0,67:up,70.58078
0,68:down,60.860157
0,68:left,60.883373
0,68:right,77.86346
0,68:up,67.52282
0,69:down,37.032333
0,69:left,20.690138
0,69:right,73.6703
0,69:up,53.413177
0,7:down,20.488274
0,7:left,2.938387
0,7:right,33.64014
0,7:up,32.60179
0,70:down,53.58647
0,70:left,-0.06892112
0,70:right,69.67115
0,70:up,64.69403
0,71:down,60.730297
0,71:left,22.429993
0,71:right,68.12115
0,71:up,61.850563
0,72:down,65.48673
0,72:left,24.111612
0,72:right,64.248146
0,72:up,53.18657
0,73:down,61.583992
0,73:left,37.07084
0,73:right,61.95427
0,73:up,57.079704
0,74:down,59.5595
0,74:left,30.119392
0,74:right,56.556805
0,74:up,36.949818
0,75:down,54.52912
0,75:left,6.0480795
0,75:right,57.991245
0,75:up,32.228386
0,76:down,37.759552
0,76:left,16.006092
0,76:right,47.46808
0,76:up,52.246212
0,77:down,42.98491
0,77:left,45.824635
0,77:right,55.771782
0,77:up,38.96917
0,78:down,35.139675
0,78:left,2.7934575
0,78:right,52.784115
0,78:up,13.748913
0,79:down,51.85883
0,79:left,17.965328
0,79:right,30.84473
0,79:up,47.137096
0,8:down,16.87128
0,8:left,19.147415
0,8:right,34.873825
0,8:up,31.621576
0,80:down,46.958874
0,80:left,44.35284
0,80:right,48.958
0,80:up,45.43731
0,81:down,46.334053
0,81:left,35.85293
0,81:right,48.193554
0,81:up,43.43846
0,82:down,46.454033
0,82:left,3.4884238
0,82:right,45.49258
0,82:up,40.400875
0,83:down,44.225212
0,83:left,35.024387
0,83:right,44.281574
0,83:up,37.431503
0,84:down,42.569534
0,84:left,28.600931
0,84:right,43.145985
0,84:up,38.32012
0,85:down,42.127975
0,85:left,24.664234
0,85:right,39.296734
0,85:up,24.357918
0,86:down,36.369637
0,86:left,28.704374
0,86:right,40.936214
0,86:up,33.238968
0,87:down,30.161123
0,87:left,15.554165
0,87:right,35.460777
0,87:up,37.064594
0,88:down,35.08652
0,88:left,21.314568
0,88:right,38.826485
0,88:up,33.934265
0,89:down,28.663042
0,89:left,29.672592
0,89:right,38.19255
0,89:up,26.432392
0,9:down,27.11311
0,9:left,26.684017
0,9:right,33.640526
0,9:up,35.915627
0,90:down,32.88226
0,90:left,6.5697403
0,90:right,37.00157
0,90:up,31.90951
0,91:down,34.525936
0,91:left,27.656279
0,91:right,36.000435
0,91:up,33.419987
0,92:down,34.62326
0,92:left,31.963081
0,92:right,34.78023
0,92:up,30.115183
0,93:down,33.92479
0,93:left,26.691706
0,93:right,33.249718
0,93:up,29.38988
0,94:down,32.390816
0,94:left,23.172977
0,94:right,33.93055
0,94:up,29.682253
0,95:down,31.532578
0,95:left,11.901173
0,95:right,32.79282
0,95:up,22.88784
0,96:down,32.642044
0,96:left,2.4043472
0,96:right,28.550465
0,96:up,22.170298
0,97:down,15.332376
0,97:left,12.962607
0,97:right,31.749426
0,97:up,28.489895
0,98:down,28.528328
0,98:left,0.14411147
0,98:right,30.3354
0,98:up,22.497986
0,99:down,29.180754
0,99:left,17.108997
0,99:right,26.615866
0,99:up,26.473621
1,-1:down,6.0226326
1,-1:up,24.157858
1,-2:down,-0.18787584
1,-2:left,0.33525065
1,-3:down,0.05112854
1,-3:left,-0.41745487
1,-4:right,0.26729015
1,0:down,12.945217
1,0:left,23.805231
1,0:right,24.38671
