State:Action,QValue
-2,60:left,-0.19719
-2,60:right,30.938293
-2,60:up,1.4453063
-2,61:down,11.510373
-2,61:left,-0.15106565
-2,62:down,0.07763043
-2,63:right,11.28627
-2,63:up,0.10543501
-2,64:down,0.16009752
-2,64:left,0.1193585
-2,65:down,0.0046061487
-2,65:left,0.000775449
-2,65:right,17.264044
-2,65:up,2.7188401
-2,66:down,0.14914337
-2,66:right,14.794077
-2,66:up,0.047347605
-2,67:down,-0.2412285
-2,67:left,-0.118242204
-2,67:right,21.905262
-2,67:up,5.5929747
-2,68:down,1.5718472
-2,68:left,-0.19774501
-2,68:right,16.878693
-2,68:up,2.3052914
-2,69:down,5.2038774
-2,69:left,-0.10711813
-2,69:right,13.504539
-2,69:up,3.9912972
-2,7:right,6.093272
-2,7:up,1.0967389
-2,70:left,4.4768405
-2,70:right,21.374538
-2,70:up,-0.5248375
-2,71:down,5.6654387
-2,71:left,2.1852381
-2,71:right,17.840733
-2,71:up,3.3656602
-2,72:down,4.8975854
-2,72:left,0.27790126
-2,72:right,13.679522
-2,72:up,0.124575004
-2,73:left,-0.37153172
-2,73:right,10.8930645
-2,73:up,1.2080013
-2,74:down,0.23340423
-2,74:right,16.496021
-2,74:up,0.3809671
-2,75:down,4.076401
-2,75:left,0.58771336
-2,75:right,14.170227
-2,76:down,0.33488953
-2,76:left,0.48383063
-2,76:right,9.576706
-2,77:down,0.6099099
-2,77:left,4.4660697
-2,77:right,13.929442
-2,77:up,0.1186859
-2,78:down,3.636332
-2,78:left,0.6770947
-2,78:right,8.728479
-2,78:up,5.3035684
-2,79:down,3.5118418
-2,79:left,0.179337
-2,79:right,13.839198
-2,79:up,1.198663
-2,8:down,0.961491
-2,8:right,2.928496
-2,8:up,1.1191635
-2,80:down,6.0884395
-2,80:left,-0.28441694
-2,80:right,14.738755
-2,80:up,0.14939043
-2,81:down,8.235772
-2,81:left,-0.203445
-2,81:right,-0.4283988
-2,81:up,-0.050962552
-2,82:down,1.9576638
-2,82:left,-0.2552722
-2,82:right,-0.20095906
-2,82:up,-0.45631468
-2,83:down,0.5461129
-2,83:left,0.048855
-2,83:up,0.5034575
-2,84:left,-0.499455
-2,84:right,5.8073015
-2,85:right,1.0122331
-2,86:right,4.5291424
-2,86:up,0.18114008
-2,87:down,1.1532276
-2,87:left,-0.29506683
-2,87:right,0.116039574
-2,87:up,0.54437333
-2,88:down,0.23284811
-2,88:left,-0.33540285
-2,88:right,10.800439
-2,88:up,-0.07590266
-2,89:down,2.3665
-2,89:left,0.3832557
-2,89:right,3.5405083
-2,89:up,-0.46476167
-2,9:down,0.7616012
-2,9:left,0.09372
-2,9:right,1.5761973
-2,9:up,-0.02217225
-2,90:down,-0.19339123
-2,90:left,-0.32629126
-2,90:right,1.0335153
-2,90:up,-0.04290823
-2,91:down,0.34134018
-2,91:left,0.7788017
-2,91:right,0.32351953
-2,91:up,-0.24026096
-2,92:down,0.1102201
-2,92:left,0.009541884
-2,92:right,3.3703585
-2,92:up,-0.040170595
-2,93:down,0.3120998
-2,93:left,0.03375168
-2,93:right,1.785728
-2,93:up,0.48215845
-2,94:down,0.05515482
-2,94:left,-0.049156412
-2,94:right,4.904919
-2,94:up,0.12423697
-2,95:down,0.18699127
-2,95:left,-0.50121003
-2,95:right,3.4242873
-2,96:left,0.29328543
-2,96:right,3.7325706
-2,97:right,5.066668
-2,97:up,0.7573114
-2,98:down,1.9068011
-2,98:left,0.051640898
-2,98:right,8.011899
-2,98:up,0.137449
-2,99:down,0.40254256
-2,99:left,-0.19953
-2,99:right,1.634152
-2,99:up,0.81598616
-3,-1:down,-0.032789703
-3,-1:left,0.14508148
-3,-1:right,0.077903196
-3,-1:up,0.20549874
-3,-2:right,0.3413834
-3,-2:up,-0.12344923
-3,-3:left,0.14845285
-3,-3:right,-0.117816895
-3,-3:up,0.1720973
-3,0:right,-0.04254432
-3,0:up,0.17287906
-3,1:down,-0.27273002
-3,1:right,1.5318482
-3,1:up,0.6993232
-3,10:left,-0.18370806
-3,10:right,0.1412035
-3,10:up,-0.232252
-3,100:down,-0.23211995
-3,100:left,-0.018000003
-3,100:right,0.09468867
-3,108:down,-0.24243169
-3,108:left,-0.23302028
-3,108:up,-0.17232004
-3,109:up,0.08115
-3,11:down,-0.61178994
-3,11:right,0.33519757
-3,11:up,0.14149977
-3,110:up,-0.18915002
-3,111:right,0.4936514
-3,12:left,0.06141898
-3,12:up,0.064534426
-3,13:down,-0.06695458
-3,13:left,0.3794223
-3,13:right,-0.025424518
-3,18:up,-0.024523541
-3,19:down,-0.19404218
-3,19:up,-0.12111268
-3,2:down,0.051148266
-3,2:left,0.3308996
-3,2:right,0.5665372
-3,2:up,0.16211993
-3,20:up,0.23378853
-3,21:right,1.8775407
-3,23:up,0.38586366
-3,24:left,0.36917156
-3,24:right,4.717389
-3,24:up,-0.009314713
-3,25:down,0.20815209
-3,26:right,8.459543
-3,26:up,0.31661457
-3,27:down,2.0636792
-3,27:right,-0.014502063
-3,27:up,-0.113646396
-3,28:down,-0.16681501
-3,28:right,0.93504333
-3,28:up,0.22922903
-3,29:down,-0.26629758
-3,29:left,0.083085
-3,29:right,0.31741866
-3,29:up,0.4217571
-3,3:down,0.584524
-3,3:left,-0.16141501
-3,3:right,1.0620235
